Title,Score,Number of Episodes,Start Date,End Date,Number of Members
Fullmetal Alchemist: Brotherhood,9.21,64,Apr 2009,Jul 2010,2090273
Steins;Gate,9.12,24,Apr 2011,Sep 2011,1681837
Gintama°,9.11,51,Apr 2015,Mar 2016,376375
Hunter x Hunter (2011),9.11,148,Oct 2011,Sep 2014,1517633
Shingeki no Kyojin Season 3 Part 2,9.09,10,Apr 2019,Jul 2019,884731
Ginga Eiyuu Densetsu,9.08,110,Jan 1988,Mar 1997,218126
Gintama',9.08,51,Apr 2011,Mar 2012,346754
Shingeki no Kyojin: The Final Season,9.06,16,Dec 2020 -,,374004
Gintama': Enchousen,9.04,13,Oct 2012,Mar 2013,209734
3-gatsu no Lion 2nd Season,9.01,22,Oct 2017,Mar 2018,245885
Koe no Katachi,9.00,1,Sep 2016,Sep 2016,1247644
Kimi no Na wa.,8.99,1,Aug 2016,Aug 2016,1588546
Gintama.,8.98,12,Jan 2017,Mar 2017,187908
Gintama,8.97,201,Apr 2006,Mar 2010,718045
Clannad: After Story,8.96,24,Oct 2008,Mar 2009,875877
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.96,1,Jul 2013,Jul 2013,162920
Owarimonogatari 2nd Season,8.93,7,Aug 2017,Aug 2017,256612
Code Geass: Hangyaku no Lelouch R2,8.91,25,Apr 2008,Sep 2008,1206854
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.89,10,Oct 2016,Dec 2016,647166
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.86,14,Jul 2018,Oct 2018,104388
Mob Psycho 100 II,8.85,13,Jan 2019,Apr 2019,749751
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.84,1,Aug 2020,Aug 2020,109499
Sen to Chihiro no Kamikakushi,8.84,1,Jul 2001,Jul 2001,1174591
Kizumonogatari III: Reiketsu-hen,8.82,1,Jan 2017,Jan 2017,292348
Gintama.: Shirogane no Tamashii-hen,8.80,12,Jan 2018,Mar 2018,117656
Cowboy Bebop,8.79,26,Apr 1998,Apr 1999,1176190
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.79,12,Jan 2017,Mar 2017,133534
Monogatari Series: Second Season,8.78,26,Jul 2013,Dec 2013,485508
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,8.77,12,Apr 2020,Jun 2020,552756
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.77,1,Jan 2020,Jan 2020,192528
Mushishi Zoku Shou 2nd Season,8.77,10,Oct 2014,Dec 2014,189452
Shigatsu wa Kimi no Uso,8.77,22,Oct 2014,Mar 2015,1334214
Haikyuu!! Second Season,8.76,25,Oct 2015,Mar 2016,778182
Made in Abyss,8.76,13,Jul 2017,Sep 2017,803447
Hajime no Ippo,8.75,75,Oct 2000,Mar 2002,367801
Monster,8.75,74,Apr 2004,Sep 2005,576427
Mushishi Zoku Shou,8.73,10,Apr 2014,Jun 2014,217978
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,4,Feb 1999,Sep 1999,223227
Vinland Saga,8.72,24,Jul 2019,Dec 2019,585339
Code Geass: Hangyaku no Lelouch,8.72,25,Oct 2006,Jul 2007,1505432
Mononoke Hime,8.72,1,Jul 1997,Jul 1997,826802
Great Teacher Onizuka,8.70,43,Jun 1999,Sep 2000,560177
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.70,1,Oct 2020,Oct 2020,273047
Mushishi,8.70,26,Oct 2005,Jun 2006,593597
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.70,1,Jun 2019,Jun 2019,307541
Natsume Yuujinchou Shi,8.68,13,Jan 2012,Mar 2012,186528
Violet Evergarden Movie,8.68,1,Sep 2020,Sep 2020,162179
Tengen Toppa Gurren Lagann,8.67,27,Apr 2007,Sep 2007,1168282
Ashita no Joe 2,8.67,47,Oct 1980,Aug 1981,28441
Hajime no Ippo: New Challenger,8.67,26,Jan 2009,Jul 2009,194148
